إدخال	تذكرة	7.69
كحول	كيمياء	5.54
المونيوم	معدن	7.83
تصريح	جهد	2.75
تصريح	أخبار	7.56
تصريح	اْنتاج	3.38
تصريح	تحذير	6
عرفات	جاكسون	2.5
عرفات	سلام	6.73
عرفات	الارهاب	7.65
معماري	قرن	3.78
ترتيب	إقامة	5.41
وصول	فندق	6
ملجأ	مأوى	8.87
مناخ	تضاريس	3.69
محاولة	سلام	4.25
طفل	ام	7.85
بنك	مال	8.12
بيسبول	موسم	5.97
سرير	خزانة	6.72
مؤشر	قياس	4.25
طير	ديك	7.1
طائر	كركي	7.38
أسقف	حاخام	6.69
مجلس	توصية	4.47
كتاب	مكتبة	7.46
كتاب	ورقة	7.46
ملاكمة	جولة	7.61
ولد	صبي	8.83
خبز	زبدة	6.19
شقيق	راهب	6.27
حساب	محاسبات	8.44
وادي	تضاريس	7.53
سيارة	عربه	8.94
سيارة	طيران	4.94
خليوي	هاتف	7.81
مقبرة	غابة	2.08
قرن	أمة	3.16
قرن	عام	7.59
بطولة	دورى	8.36
فرصة	مصداقية	3.88
تغيير	سلوك	5.44
وتر	ابتسامة	0.54
خزانة	ملابس	8
ساحل	غابة	3.15
ساحل	تل	4.38
ساحل	شاطئ	9.1
شركة	اسهم	7.08
منافسة	سعر	6.44
الحاسوب	انترنت	7.58
الحاسوب	طابعة	7.62
حاسوب	مختبر	6.78
كمبيوتر	أخبار	4.47
كمبيوتر	برامج	8.5
حفلة	مبدع	6.81
مستهلك	ثقة	4.13
مستهلك	طاقة	4.75
بلد	مواطن	7.31
رافعة	تنفيذ	2.69
ائتمان	بطاقة	8.06
ائتمان	معلومات	5.31
خيار	بطاطس	5.92
كأس	مقال	2.4
كأس	الأداة	2.92
كأس	قهوة	6.58
كأس	شراب	7.25
كأس	كيان	2.15
كأس	طعام	5
كأس	سائل	5.9
كأس	شئ	3.69
كأس	مادة	1.92
كأس	سكين	6.85
عمله	سوق	7.5
يوم	فجر	7.53
يوم	صيف	3.94
وفاة	سجين	5.03
إعدام	صف	5.25
ديكور	جراءة	5.63
تأخير	أخبار	3.31
تأخير	عنصرية	1.19
نشر	رحيل	4.25
نشر	انسحاب	5.88
تنمية	قضية	3.97
الاتجاه	مزج	2.25
عجز	وفاة	5.47
كارثة	منطقة	6.25
اكتشاف	فضاء	6.34
عائد	حساب	6.48
عائد	دفع	7.63
طبيب	مسؤولية	5.19
طبيب	ممرضة	7
طبيب	موظف	5
دولار	عملة	9.22
دولار	خسائر	6.09
دولار	ربح	7.38
دولار	دينار	7.78
شرب	سيارة	3.04
شرب	الأذن	1.31
شراب	يأكل	6.87
شرب	أم	2.65
شرب	شفاه	5.96
مخدرات	إيذاء	6.85
طاقة	أزمة	5.94
طاقة	مختبر	5.09
طاقة	سكرتير	1.81
بيئة	الإيكولوجيا	8.81
معدات	صناع	5.91
معرض	تذكارات	5.31
خبره	موسيقى	3.47
أسرة	تنظيم	6.25
شرطه	بصمات	6.94
شرطه	تحقيق	8.31
خصوبة	بيض	6.69
قتال	هزيمة	7.41
خمسة	أشهر	3.38
تركيز	حياة	4.06
طعام	فاكهه	7.52
طعام	إعداد	6.22
طعام	ديك	4.42
كرة	سلة	6.81
رجبي	كرة	9.03
كرة	تنس	6.63
غابة	مقبرة	1.85
نكاح	جنس	9.44
فرن	موقد	8.79
مباراة	هزيمة	6.97
مباراة	جولة	5.97
لعبة	متتالي	6.19
لعب	فريق	7.69
مباراة	نصر	7.03
جوهرة	حلية	8.96
جنس	مساواة	6.41
زجاج	ساحر	2.08
زجاج	معدن	5.56
حكومة	أزمة	6.56
عمدة	مقابلة	3.25
عمدة	مكتب	6.34
بقالة	مال	5.94
هارفارد	ييل	8.13
مقدس	جنس	1.62
مستشفى	بنية	4.63
فندق	حجز	8.03
مئة	نسبه	7.38
صورة	سطح	4.56
نزاهة	مصلحة	5.16
تحقيق	جهد	4.59
مستثمر	ربح	7.13
جاكوار	سيارة	7.27
جاكوار	قط	7.42
ياباني	أمريكي	6.5
القدس	اسرائيل	8.46
القدس	فلسطين	7.65
مجلة	رابطة	4.97
رحلة	سيارة	5.85
سفر	رحلة	9.29
ملك	كرنب	0.23
ملك	ملكة	8.58
ملك	رخ	5.92
صبي	شقيق	4.46
صبي	منجم	0.92
قانون	محام	8.38
محامي	دليل	6.69
مسؤولية	تأمين	7.03
حياة	موت	7.88
حياة	درس	5.94
حياة	فترة	4.5
خط	تأمين	2.69
سائل	ماء	7.89
قائمة	صنف	6.38
قائمة	قرب	2.56
سلطعون	طعام	7.81
سلطعون	نبيذ	5.7
حب	جنس	6.77
محب	خصام	6.19
فاخر	سيارة	6.47
ساحر	منجم	9.02
رجل	عمدة	5.25
رجل	امرأة	8.3
مارادونا	كرة	8.62
ماراثون	سباق	7.47
مريخ	عالم	5.63
مريخ	مياه	2.94
الإعلام	كسب	2.88
الإعلام	الإذاعة	7.42
الإعلام	تجاري	3.88
مكسيك	برازيل	7.44
ظهيرة	ظهر	9.29
ميل	كيلومتر	8.66
وزير	حزب	6.63
وزارة	ثقافة	4.69
أقليات	سلام	3.69
مال	بنك	8.5
مال	نقود	9.15
مال	عملة	9.04
مال	إيداع	7.73
مال	دولار	8.42
مال	غسل	5.65
مال	تشغيل	3.31
مال	حيازة	7.29
مال	ملكية	7.57
مال	ثروة	8.27
مال	سحب	6.88
راهب	حكيم	5
راهب	عبد	0.92
شهر	فندق	1.81
أخلاق	أهمية	3.31
أخلاق	زواج	3.69
فيلم	ناقد	6.73
فيلم	فشار	6.19
فيلم	نجم	7.38
فيلم	مسرح	7.92
جريمة	قتل	8.53
متحف	مسرح	7.19
موسيقى	مشروع	3.63
الطبيعة	البيئة	8.31
طبيعة	رجل	6.25
شبكة	معدات	8.31
اخبار	تقرير	8.16
ظهر	خيط	0.54
ملاحظة	معماري	4.38
نفط	اسهم	6.34
اوبك	بلد	5.63
اوبك	نفط	8.59
أوبرا	صناعة	2.63
أوبرا	الأداء	6.88
سلام	مناخ	3.69
سلام	تأمين	2.94
سلام	خطة	4.75
هاتف	معدات	7.13
فيزياء	كيمياء	7.35
فيزياء	بروتون	8.12
طائرة	سيارة	5.77
كوكب	فلكي	7.94
كوكب	نجوم	8.06
كوكب	مجرة	8.11
كوكب	قمر	8.08
كوكب	ناس	5.75
كوكب	فضاء	7.92
كوكب	نجم	8.45
كوكب	شمس	8.02
سكان	تنمية	3.75
إمكانية	فتاة	1.94
ممارسة	مؤسسة	3.19
سابقة	ماضى	6.04
سابقة	معرفة	2.81
سابقة	مجموعة	2.5
سابقة	مثال	5.85
سابقة	مجموعة	1.77
سابقة	معلومات	3.85
سابقة	قانون	6.65
تعصب	تقدير	3
حفظ	عالم	6.19
رئيس	وسام	3
مشكلة	مطار	2.38
مشكلة	تحدي	6.75
إنتاج	طاقم	6.25
الانتاج	إرتفع	1.75
أستاذ	خيار	0.31
أستاذ	طبيب	6.62
ربح	خسارة	7.63
ربح	تحذير	3.88
نفسي	قلق	7
نفسي	عيادة	6.58
سيكولوجيا	الإدراك	7.48
نفسي	الاكتئاب	7.42
نفسي	انضباط	5.58
نفسي	طبيب	6.42
سيكولوجي	خوف	6.85
سيكولوجيا	فرويد	8.21
نفسي	صحة	7.23
سيكولوجيا	عقل	7.69
سيكولوجيا	نفسي	8.08
سيكولوجي	علوم	6.71
سبب	معيار	5.91
سبب	انفعال	2.31
سجل	رقم	6.31
تسجيل	ترتيب	6
تقرير	كسب	3.63
روك	جاز	7.59
ديك	رحلة	0.62
مدرسة	مركز	3.44
سمك	طعام	8.34
سمك	سلطعون	8.7
سمك	بحر	7.47
سكرتير	برلمان	5.06
سبع	متتالي	3.56
شاطئ	غابة	3.08
مطر	فيضان	6.03
مطر	عواصف	6.31
علامة	ركود	2.38
وضع	ختام	4.81
وضع	عزلة	3.88
حجم	بارز	5.31
جلد	عين	6.22
ذكي	طالب	4.62
ذكي	غبي	5.81
مسلسل	الأوبرا	7.94
فضاء	كيمياء	4.88
فضاء	عالم	6.53
بداية	مباراة	4.47
بداية	سنة	4.06
مخزون	قرص	1.31
أسهم	بيض	1.81
أسهم	جاكوار	0.92
أسهم	حياة	0.92
أسهم	عيش	3.73
اسهم	سوق	8.08
أسهم	هاتف	1.62
شارع	حاره	8.88
شارع	مبنى	6.88
شارع	أطفال	4.94
شارع	مكان	6.44
سكتة	مستشفى	7.03
طالب	أستاذ	6.81
سكر	نهج	0.88
صيف	جفاف	7.16
صيف	طبيعة	5.63
هاتف	اتصال	7.5
تلفاز	فيلم	7.72
تلفاز	راديو	6.77
تنس	مضرب	7.56
أراضي	كيلومتر	5.28
أراضي	مساحة	5.34
مسرح	تاريخ	3.91
نمر	حيوان	7
نمر	مفترس	7.08
نمر	قط	7.35
نمر	حيوان	5.62
نمر	قط	8
نمر	جاكوار	8
نمر	ثديي	6.85
نمر	كائن	4.77
نمر	نمر	10
نمر	حديقة	5.87
أداة	تنفيذ	6.46
قطار	سيارة	6.31
سفر	نشاط	5
علاج	انتعاش	7.91
صنف	نوع	8.97
ضحية	طوارئ	6.47
فيديو	أرشيف	6.34
مشاهد	متسلسل	2.97
فودكا	براندي	8.13
فودكا	نبيذ	8.46
متطوع	شعار	2.56
حرب	قوات	8.13
ماء	تسرب	6.56
سلاح	سري	6.06
الطقس	تكهن	8.34
اّربعاء	أخبار	2.22
خشب	غابة	7.73
كلمة	تشابه	4.75
