"EN.1";"EN.2";"RO.1";"RO.2";"AR.1";"AR.2";"ES.1";"ES.2";"score"
"asylum";"madhouse";"azil";"sanatoriu";"ملجأ";"مأوى";"asilo";"manicomio";3.61
"bird";"cock";"pasăre";"cocoş";"طير";"ديك";"pajaro";"gallo";3.05
"bird";"crane";"pasăre";"cocor";"طائر";"كركي";"pajaro";"grulla";2.97
"boy";"lad";"băiat";"fecior";"ولد";"صبي";"chico";"muchacho";3.76
"brother";"monk";"frate";"călugăr";"شقيق";"راهب";"hermano";"monje";2.82
"car";"automobile";"maşină";"automobil";"سيارة";"عربه";"coche";"automovil";3.92
"cemetery";"woodland";"cimitir";"împădurire";"مقبرة";"غابة";"cementerio";"bosque";0.95
"chord";"smile";"coardă";"zâmbet";"وتر";"ابتسامة";"acorde";"sonrisa";0.13
"coast";"forest";"ţărm";"pădure";"ساحل";"غابة";"costa";"bosque";0.42
"coast";"hill";"ţărm";"deal";"ساحل";"تل";"costa";"colina";0.87
"coast";"shore";"ţărm";"mal";"ساحل";"شاطئ";"costa";"orilla";3.7
"crane";"implement";"macara";"unealtă";"رافعة";"تنفيذ";"grua";"implemento";1.68
"food";"fruit";"mâncare";"fruct";"طعام";"فاكهه";"comida";"fruta";3.08
"food";"rooster";"mâncare";"cocoş";"طعام";"ديك";"comida";"gallo";0.89
"forest";"graveyard";"pădure";"cimitir";"غابة";"مقبرة";"forestales";"cementerio";0.84
"furnace";"stove";"sobă";"cuptor";"فرن";"موقد";"horno";"estufa";3.11
"gem";"jewel";"nestemată";"bijuterie";"جوهرة";"حلية";"gema";"joya";3.84
"glass";"magician";"sticlă";"magician";"زجاج";"ساحر";"vidrio";"mago";0.11
"journey";"car";"călătorie";"maşină";"رحلة";"سيارة";"coche";"viaje";1.16
"journey";"voyage";"călătorie";"voiaj";"سفر";"رحلة";"viaje";"pasaje";3.84
"lad";"brother";"fecior";"frate";"صبي";"شقيق";"hermano";"muchacho";1.66
"lad";"wizard";"fecior";"vrăjitor";"صبي";"منجم";"muchacho";"hechicero";0.42
"magician";"wizard";"magician";"vrăjitor";"ساحر";"منجم";"mago";"hechicero";3.5
"midday";"noon";"amiază";"prânz";"ظهيرة";"ظهر";"mediodia";"mediodia";3.42
"monk";"oracle";"călugăr";"oracol";"راهب";"حكيم";"monje";"oraculo";1.1
"monk";"slave";"călugăr";"sclav";"راهب";"عبد";"monje";"esclavo";0.55
"noon";"string";"prânz";"şir";"ظهر";"خيط";"mediodia";"cuerda";0.08
"rooster";"voyage";"cocoş";"voiaj";"ديك";"رحلة";"gallo";"viaje";0.08
"shore";"woodland";"mal";"împădurire";"شاطئ";"غابة";"orilla";"bosque";0.63
"tool";"implement";"instrument";"unealtă";"أداة";"تنفيذ";"herramienta";"implementar";2.95
